ID|Term|Definition
0004|Acquisition Channel|The channel through which a customer first engaged with RetailCo. Set once at registration. Values: Web, Store, Referral, Partner.
0006|Channel|The commercial channel through which an order was placed. Values: Web, Mobile, In-Store, Partner. Grouped into Digital (Web, Mobile) and Physical (In-Store, Partner).
0007|Line Item|A single product entry within an order, recording product, quantity, unit price, and line-level discount.
0008|Extended Price|The revenue attributable to a single line item, calculated as Quantity x UnitPrice x (1 - DiscountPct). Additive across line items.
0009|Gross Order Value|The sum of all line item extended prices on an order, before application of any order-level promotional discount.
0010|Net Revenue|Gross order value minus the order-level discount amount. The primary revenue metric for business reporting.
0011|Promotion|A discount campaign optionally applied to an order. Types: Percentage (fraction of gross value), Fixed (absolute amount), BOGO (buy-one-get-one).
0012|List Price|The standard published selling price of a product at the current point in time. May differ from the unit price charged on a historical order.
0014|Cost Price|The per-unit cost of a product from its primary supplier. A restricted financial metric visible to finance roles only.
0015|Standard Cost|Cost price as used in analytical margin calculations: CostPrice x Quantity = CostAmount per line item.
0016|Gross Margin|Net revenue minus cost amount for a given line item. Calculable only when cost price is available.
0017|SKU|Stock-Keeping Unit. A unique alphanumeric code that identifies a product across operational and analytical systems.
0018|Category|A hierarchical classification for products with up to three levels: Root, Mid, and Leaf. Products are assigned only to Leaf categories.
0019|Supplier|A vendor that provides products to RetailCo. Each product has one primary supplier.
0020|Lead Time|The standard number of calendar days between placing a purchase order with a supplier and receiving the goods.
0021|SCD Type 2|Slowly Changing Dimension Type 2. A technique for tracking historical attribute changes by adding new rows with effective-from and effective-to dates, preserving a full audit trail.
0022|Surrogate Key|A system-generated unique identifier (UUID) used as the primary key in dimensional tables, replacing the natural business key to isolate the warehouse from source system key changes.
0023|Degenerate Dimension|A dimension attribute stored directly on the fact table rather than in a separate dimension table. OrderID is a degenerate dimension on FACT_ORDER_LINE.
0024|PII|Personally Identifiable Information. Attributes that can identify a natural person. Requires classification, access control, and masking in non-production environments.
